ticker,company_name,industry_group,sector_detail,company_type
ICF,Công ty Cổ phần Đầu tư - Thương mại - Thuỷ sản,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT
HAN,Tổng Công ty Xây dựng Hà Nội - CTCP,Xây dựng và Vật liệu,Xây dựng,CT
LSG,Công ty Cổ phần Bất động sản Sài Gòn Vi na,Bất động sản,Bất động sản,CT
L35,Công ty Cổ phần Cơ khí Lắp máy Lilama,Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT
MHL,Công ty Cổ phần Minh Hữu Liên,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT
CRV,Công ty Cổ phần Tập đoàn Bất động sản CRV,Bất động sản,Bất động sản,CT
TRA,Công ty Cổ phần Traphaco,Y tế,Dược phẩm,CT
PHP,Công ty Cổ phần Cảng Hải Phòng,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT
PSN,Công ty Cổ phần Dịch vụ Kỹ thuật PTSC Thanh Hóa,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT
KSF,Công ty Cổ phần Tập đoàn Sunshine,Bất động sản,Bất động sản,CT
PVY,Công ty Cổ phần Chế tạo Giàn khoan Dầu khí,Xây dựng và Vật liệu,Xây dựng,CT
AIC,Công ty Cổ phần Tập đoàn Bảo hiểm DBV,Bảo hiểm,Bảo hiểm phi nhân thọ,BH
TIE,Công ty Cổ phần TIE,Hàng & Dịch vụ Công nghiệp,Hàng điện & điện tử,CT
TDT,Công ty Cổ phần Đầu tư và Phát triển TDT,Hàng cá nhân & Gia dụng,Hàng May mặc,CT
SCO,Công ty Cổ phần Công nghiệp Thủy sản,Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT
TTZ,Công ty Cổ phần Đầu tư Xây dựng và Công nghệ Tiến Trung,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
SAC,Công ty Cổ phần Xếp dỡ và Dịch vụ cảng Sài Gòn,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT
SID,Công ty Cổ phần Đầu tư Phát triển Sài Gòn Co.op,Bất động sản,Bất động sản,CT
SDP,Công ty Cổ phần SDP,Xây dựng và Vật liệu,Xây dựng,CT
SDN,Công ty Cổ phần Sơn Đồng Nai,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
SPI,Công ty Cổ phần Spiral Galaxy,Tài nguyên Cơ bản,Khai khoáng,CT
SJD,Công ty Cổ phần Thủy điện Cần Đơn,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT
SPM,Công ty Cổ phần S.P.M,Y tế,Dược phẩm,CT
SRA,Công ty Cổ phần SARA Việt Nam,Y tế,Thiết bị y tế,CT
SVG,Công ty Cổ phần Hơi kỹ nghệ Que hàn,Hàng & Dịch vụ Công nghiệp,Công nghiệp phức hợp,CT
TMP,Công ty Cổ phần Thủy điện Thác Mơ,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT
TDC,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,Bất động sản,"Tư Vấn, Định giá, Môi giới Bất động sản",CT
CPI,Công ty Cổ phần Đầu tư Cảng Cái Lân,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT
MDC,Công ty Cổ phần Than Mông Dương - Vinacomin,Tài nguyên Cơ bản,Khai thác Than,CT
NAC,Công ty Cổ phần Tư vấn Xây dựng Tổng hợp,Xây dựng và Vật liệu,Xây dựng,CT
PCE,Công ty Cổ phần Phân bón và hóa chất dầu khí Miền Trung,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT
PVG,Công ty Cổ phần Kinh doanh LPG Việt Nam,"Điện, nước & xăng dầu khí đốt",Phân phối xăng dầu & khí đốt,CT
PXM,Công ty Cổ phần Xây lắp Dầu khí Miền Trung,Xây dựng và Vật liệu,Xây dựng,CT
SDD,Công ty Cổ phần Đầu tư và Xây lắp Sông Đà,Xây dựng và Vật liệu,Xây dựng,CT
GAS,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,"Điện, nước & xăng dầu khí đốt",Phân phối xăng dầu & khí đốt,CT
THB,Công ty Cổ phần Bia Hà Nội - Thanh Hóa,Thực phẩm và đồ uống,Sản xuất bia,CT
BTB,Công ty Cổ phần Bia Hà Nội - Thái Bình,Thực phẩm và đồ uống,Sản xuất bia,CT
WTC,Công ty Cổ phần Vận tải thủy - Vinacomin,Hàng & Dịch vụ Công nghiệp,Vận tải Thủy,CT
TMW,Công ty Cổ phần Tổng hợp Gỗ Tân Mai,Tài nguyên Cơ bản,Lâm sản và Chế biến gỗ,CT
TNT,Công ty Cổ phần Tập đoàn TNT,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
HTG,Tổng Công ty Cổ phần Dệt may Hòa Thọ,Hàng cá nhân & Gia dụng,Hàng May mặc,CT
L18,Công ty Cổ phần Đầu tư và Xây dựng số 18,Xây dựng và Vật liệu,Xây dựng,CT
HSV,Công ty Cổ phần Tập đoàn HSV Việt Nam,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT
KHX,Công ty Cổ phần Phát hành sách Khánh Hoà,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",CT
CC1,Tổng Công ty Xây dựng số 1 - CTCP,Xây dựng và Vật liệu,Xây dựng,CT
CMC,Công ty Cổ phần Đầu tư CMC,Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT
SDT,Công ty Cổ phần Sông Đà 10,Xây dựng và Vật liệu,Xây dựng,CT
PBP,Công ty Cổ phần Bao bì Dầu khí Việt Nam,Hàng & Dịch vụ Công nghiệp,Containers & Đóng gói,CT
YBC,Công ty Cổ phần Xi măng và Khoáng sản Yên Bái,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
RYG,Công ty Cổ phần Sản xuất và Đầu tư Hoàng Gia,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
VPX,Công ty Cổ phần Chứng khoán VPBank,Dịch vụ tài chính,Môi giới chứng khoán,CK
BAF,Công ty Cổ phần Nông nghiệp BAF Việt Nam,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT
BBH,Công ty Cổ phần Bao bì Hoàng Thạch,Hàng & Dịch vụ Công nghiệp,Containers & Đóng gói,CT
BED,Công ty Cổ phần Sách và Thiết bị trường học Đà Nẵng,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",CT
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,Ngân hàng,NH
TS3,Công ty Cổ phần Trường Sơn 532,Xây dựng và Vật liệu,Xây dựng,CT
CAP,Công ty Cổ phần Lâm Nông sản Thực phẩm Yên Bái,Tài nguyên Cơ bản,Sản xuất giấy,CT
DUS,Công ty Cổ phần Dịch vụ Đô thị Đà Lạt,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT
ACS,Công ty Cổ phần Xây lắp Thương mại 2,Xây dựng và Vật liệu,Xây dựng,CT
UPC,Công ty Cổ phần Phát triển Công viên Cây xanh và Đô thị Vũng Tàu,"Điện, nước & xăng dầu khí đốt",Tiện ích khác,CT
FCN,Công ty Cổ phần FECON,Xây dựng và Vật liệu,Xây dựng,CT
UXC,Công ty Cổ phần Chế biến Thủy sản Út Xi,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT
BMK,Công ty Cổ Phần Kỹ thuật Nhiệt Mèo Đen,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
FDC,Công ty Cổ phần Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,Bất động sản,Bất động sản,CT
VDB,Công ty Cổ phần Vận tải và Chế biến Than Đông Bắc,Tài nguyên Cơ bản,Khai thác Than,CT
VC2,Công ty Cổ phần Đầu tư và Xây dựng VINA2,Xây dựng và Vật liệu,Xây dựng,CT
TH1,Công ty Cổ phần Xuất nhập khẩu Tổng hợp I Việt Nam,Bán lẻ,Phân phối thực phẩm,CT
C4G,Công ty Cổ phần Tập Đoàn Cienco4,Xây dựng và Vật liệu,Xây dựng,CT
VE9,Công ty Cổ phần Đầu tư và Xây dựng VNECO 9,Xây dựng và Vật liệu,Xây dựng,CT
VGS,Công ty Cổ phần Ống thép Việt - Đức VG PIPE,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT
PVO,Công ty Cổ phần Dầu nhờn PV Oil,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT
HID,Công ty Cổ phần Halcom Vietnam,Xây dựng và Vật liệu,Xây dựng,CT
BCA,Công ty cổ phần B.C.H,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT
CTF,Công ty Cổ phần City Auto,Ô tô và phụ tùng,Sản xuất ô tô,CT
DTK,Tổng Công ty Điện lực TKV - Công ty Cổ phần,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT
HAR,Công ty Cổ phần Đầu tư Thương mại Bất động sản An Dương Thảo Điền,Bất động sản,Bất động sản,CT
VMT,Công ty Cổ phần Giao nhận Vận tải Miền Trung,Hàng & Dịch vụ Công nghiệp,Dịch vụ vận tải,CT
VPS,Công ty Cổ phần Thuốc sát trùng Việt Nam,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT
GH3,Công ty Cổ phần Công trình giao thông Hà Nội,Xây dựng và Vật liệu,Xây dựng,CT
GLW,Công ty Cổ phần Cấp thoát nước Gia Lai,"Điện, nước & xăng dầu khí đốt",Nước,CT
VWS,Công ty Cổ phần Nước và Môi trường Việt Nam,"Điện, nước & xăng dầu khí đốt",Nước,CT
HHC,Công ty Cổ phần Bánh kẹo Hải Hà,Thực phẩm và đồ uống,Thực phẩm,CT
HTN,Công ty Cổ phần Hưng Thịnh Incons,Bất động sản,Bất động sản,CT
DPH,Công ty Cổ phần Dược phẩm Hải Phòng,Y tế,Dược phẩm,CT
GSP,Công ty Cổ phần Vận tải Sản phẩm Khí Quốc tế,Hàng & Dịch vụ Công nghiệp,Vận tải Thủy,CT
HFC,Công ty Cổ phần Xăng dầu HFC,"Điện, nước & xăng dầu khí đốt",Phân phối xăng dầu & khí đốt,CT
NRC,Công ty Cổ phần Tập đoàn NRC,Bất động sản,Bất động sản,CT
ITQ,Công ty Cổ phần Tập đoàn Thiên Quang,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT
JVC,Công ty Cổ phần Đầu tư Y tế - Dược phẩm Việt Nam,Y tế,Thiết bị y tế,CT
VLG,Công ty Cổ phần VIMC Logistics,Hàng & Dịch vụ Công nghiệp,Dịch vụ vận tải,CT
LCD,Công ty Cổ phần Lắp máy - Thí nghiệm cơ điện,Xây dựng và Vật liệu,Xây dựng,CT
NNT,Công ty Cổ phần Cấp nước Ninh Thuận,"Điện, nước & xăng dầu khí đốt",Nước,CT
MIG,Tổng Công ty Cổ phần Bảo hiểm Quân đội,Bảo hiểm,Bảo hiểm phi nhân thọ,BH
HCM,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,Dịch vụ tài chính,Môi giới chứng khoán,CK
VTJ,Công ty Cổ phần Thương mại và Đầu tư VI NA TA BA,Hàng cá nhân & Gia dụng,Thuốc lá,CT
PDN,Công ty Cổ phần Cảng Đồng Nai,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT
VBB,Ngân hàng Thương mại Cổ phần Việt Nam Thương Tín,Ngân hàng,Ngân hàng,NH
NAW,Công ty Cổ phần Cấp nước Nghệ An,"Điện, nước & xăng dầu khí đốt",Nước,CT
NFC,Công ty Cổ phần Phân lân Ninh Bình,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT
NHT,Công ty Cổ phần Sản xuất và Thương mại Nam Hoa,Hàng cá nhân & Gia dụng,Đồ chơi,CT
NHV,Công ty Cổ phần Sức khỏe Hồi sinh Việt Nam,Tài nguyên Cơ bản,Kim Loại màu,CT
XMC,Công ty cổ phần Đầu tư và Xây dựng Xuân Mai,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
HPA,Công ty Cổ phần Phát triển Nông nghiệp Hoà Phát,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT
PDB,Công ty Cổ phần Tập đoàn Đầu tư DIN Capital,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
PHH,Công ty Cổ phần Hồng Hà Việt Nam,Xây dựng và Vật liệu,Xây dựng,CT
VHM,Công ty Cổ phần Vinhomes,Bất động sản,Bất động sản,CT
PSC,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Sài Gòn,Hàng & Dịch vụ Công nghiệp,Dịch vụ vận tải,CT
PSD,Công ty Cổ phần Dịch vụ Phân phối Tổng hợp Dầu khí,Bán lẻ,Phân phối hàng chuyên dụng,CT
PVH,Công ty Cổ phần Xây lắp Dầu khí Thanh Hóa,Xây dựng và Vật liệu,Xây dựng,CT
PSG,Công ty Cổ phần Đầu tư và Xây lắp Dầu khí Sài Gòn,Xây dựng và Vật liệu,Xây dựng,CT
QCC,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Hạ tầng Viễn Thông,Xây dựng và Vật liệu,Xây dựng,CT
PBT,Công ty Cổ Phần Bao bì và Thương mại Dầu khí Bình Sơn,Hàng & Dịch vụ Công nghiệp,Containers & Đóng gói,CT
PGI,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Bảo hiểm,Bảo hiểm phi nhân thọ,BH
SCS,Công ty Cổ phần Dịch vụ Hàng hóa Sài Gòn,Du lịch và Giải trí,Hàng không,CT
SD3,Công ty Cổ phần Sông Đà 3,Xây dựng và Vật liệu,Xây dựng,CT
VHD,Công ty Cổ phần Đầu tư phát triển nhà và đô thị VINAHUD,Bất động sản,Bất động sản,CT
SEB,Công ty Cổ phần Đầu tư và Phát triển Điện Miền Trung,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT
SDK,Công ty Cổ phần Cơ khí Luyện Kim,Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT
SHB,Ngân hàng Thương mại Cổ phần Sài Gòn – Hà Nội,Ngân hàng,Ngân hàng,NH
SB1,Công ty Cổ phần Bia Sài Gòn - Nghệ Tĩnh,Thực phẩm và đồ uống,Sản xuất bia,CT
AST,Công ty Cổ phần Dịch vụ Hàng không Taseco,Bán lẻ,Phân phối hàng chuyên dụng,CT
VJC,Công ty Cổ phần Hàng không Vietjet,Du lịch và Giải trí,Hàng không,CT
GTD,Công ty Cổ phần Giầy Thượng Đình,Hàng cá nhân & Gia dụng,Giầy dép,CT
BTD,Công ty Cổ phần Bê tông ly tâm Thủ Đức,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
KMR,Công ty Cổ phần Mirae,Hàng cá nhân & Gia dụng,Hàng May mặc,CT
PVT,Tổng Công ty Cổ phần Vận tải Dầu khí,Hàng & Dịch vụ Công nghiệp,Vận tải Thủy,CT
PVP,Công ty Cổ phần Vận tải Dầu khí Thái Bình Dương,Hàng & Dịch vụ Công nghiệp,Dịch vụ vận tải,CT
PXL,Công ty Cổ phần Đầu tư Khu Công Nghiệp Dầu khí Long Sơn,Bất động sản,Bất động sản,CT
NQN,Công ty Cổ phần Nước sạch Quảng Ninh,"Điện, nước & xăng dầu khí đốt",Nước,CT
SEP,Công ty Cổ phần Tổng Công ty Thương mại Quảng Trị,Hóa chất,"Nhựa, cao su & sợi",CT
TAN,Công ty Cổ phần Cà phê Thuận An,Thực phẩm và đồ uống,Đồ uống & giải khát,CT
TMX,Công ty Cổ phần VICEM Thương mại Xi măng,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
TN1,Công ty Cổ phần Rox Key Holdings,Bất động sản,Bất động sản,CT
TNC,Công ty Cổ phần Cao su Thống Nhất,Hóa chất,"Nhựa, cao su & sợi",CT
TNG,Công ty Cổ phần Đầu tư và Thương mại TNG,Hàng cá nhân & Gia dụng,Hàng May mặc,CT
TNI,Công ty Cổ phần Tập đoàn Thành Nam,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT
APH,Công ty Cổ phần Tập đoàn An Phát Holdings,Hàng & Dịch vụ Công nghiệp,Containers & Đóng gói,CT
UEM,Công ty Cổ phần Cơ điện Uông Bí - Vinacomin,Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT
CPA,Công ty Cổ phần Cà phê Phước An,Thực phẩm và đồ uống,Đồ uống & giải khát,CT
DLG,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,Xây dựng và Vật liệu,Xây dựng,CT
PGC,Tổng Công ty Gas Petrolimex - Công ty Cổ phần,"Điện, nước & xăng dầu khí đốt",Phân phối xăng dầu & khí đốt,CT
BQB,Công ty Cổ phần Bia Hà Nội - Quảng Bình,Thực phẩm và đồ uống,Sản xuất bia,CT
F88,Công ty Cổ phần Đầu tư F88,Dịch vụ tài chính,Tài chính cá nhân,CT
BHP,Công ty Cổ phần Bia Hà Nội - Hải Phòng,Thực phẩm và đồ uống,Sản xuất bia,CT
CCR,Công ty Cổ phần Cảng Cam Ranh,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT
ALC,Công ty Cổ phần Âu Lạc,Hàng & Dịch vụ Công nghiệp,Vận tải Thủy,CT
MND,Công ty Cổ phần Môi trường Nam Định,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT
BDT,Công ty Cổ phần Xây lắp và Vật liệu xây dựng Đồng Tháp,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
CII,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,Xây dựng và Vật liệu,Xây dựng,CT
CTT,Công ty Cổ phần Chế tạo máy - Vinacomin,Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT
BMS,Công ty Cổ phần Chứng khoán Bảo Minh,Dịch vụ tài chính,Môi giới chứng khoán,CK
HFB,Công ty Cổ phần Công trình Cầu phà Thành phố Hồ Chí Minh,Xây dựng và Vật liệu,Xây dựng,CT
BRS,Công ty Cổ phần Dịch vụ Đô thị Bà Rịa,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT
ACG,Công ty Cổ phần Gỗ An Cường,Tài nguyên Cơ bản,Lâm sản và Chế biến gỗ,CT
KSQ,Công ty Cổ phần CNC Capital Việt Nam,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
ANT,Công ty Cổ phần Rau quả Thực phẩm An Giang,Thực phẩm và đồ uống,Thực phẩm,CT
BTN,Công ty Cổ phần Đầu tư Bitco Bình Định,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
DXG,Công ty Cổ phần Tập đoàn Đất Xanh,Bất động sản,Bất động sản,CT
COM,Công ty Cổ phần Vật tư - Xăng dầu,Bán lẻ,Phân phối hàng chuyên dụng,CT
BVH,Tập đoàn Bảo Việt,Bảo hiểm,Bảo hiểm nhân thọ,BH
LGC,Công ty Cổ phần Đầu tư Cầu đường CII,Xây dựng và Vật liệu,Xây dựng,CT
CKD,Công ty Cổ phần Cơ khí Đông Anh Licogi,Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT
PRT,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - Công ty cổ phần,Bất động sản,Bất động sản,CT
BXH,Công ty Cổ phần VICEM Bao bì Hải Phòng,Hàng & Dịch vụ Công nghiệp,Containers & Đóng gói,CT
MLS,Công ty Cổ phần Chăn nuôi - Mitraco,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT
EID,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Hà Nội,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",CT
UDC,Công ty Cổ phần Đầu tư Xây dựng UDCons,Xây dựng và Vật liệu,Xây dựng,CT
UIC,Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị IDICO,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT
DND,Công ty Cổ phần Đầu tư Xây dựng và Vật liệu Đồng Nai,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
TGG,Công ty Cổ phần The Golden Group,Xây dựng và Vật liệu,Xây dựng,CT
FT1,Công ty Cổ phần Phụ tùng máy số 1,Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT
GIL,Công ty Cổ phần Sản xuất Kinh doanh Xuất nhập khẩu Bình Thạnh,Hàng cá nhân & Gia dụng,Hàng May mặc,CT
FIR,Công ty Cổ phần Địa ốc First Real,Bất động sản,Bất động sản,CT
ECO,Công ty Cổ Phần Nhựa Sinh Thái Việt Nam,Hóa chất,"Nhựa, cao su & sợi",CT
UMC,Công ty Cổ phần Công trình đô thị Nam Định,Xây dựng và Vật liệu,Xây dựng,CT
CCS,Công ty Cổ phần Chíp Sáng,Bất động sản,Bất động sản,CT
MSN,Công ty Cổ phần Tập đoàn Masan,Thực phẩm và đồ uống,Thực phẩm,CT
CAG,Công ty Cổ phần Cảng An Giang,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT
PGV,Tổng Công ty Phát điện 3 - Công ty Cổ phần,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT
VCX,Công ty Cổ phần Xi măng Yên Bình,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
FGL,Công ty Cổ phần Cà phê Gia Lai,Thực phẩm và đồ uống,Đồ uống & giải khát,CT
VDT,Công ty Cổ phần Lưới thép Bình Tây,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT
IDP,Công ty Cổ phần Sữa Quốc tế LOF,Thực phẩm và đồ uống,Thực phẩm,CT
VEF,Công ty Cổ phần Trung tâm Hội chợ Triển lãm Việt Nam,Bất động sản,Bất động sản,CT
AGX,Công ty Cổ phần Thực phẩm Nông sản Xuất khẩu Sài Gòn,Bán lẻ,Phân phối thực phẩm,CT
C92,Công ty Cổ phần Xây dựng và Đầu tư 492,Xây dựng và Vật liệu,Xây dựng,CT
D11,Công ty Cổ phần Địa ốc 11,Bất động sản,Bất động sản,CT
VID,Công ty Cổ phần Đầu tư Phát triển Thương mại Viễn Đông,Tài nguyên Cơ bản,Sản xuất giấy,CT
HKB,Công ty Cổ phần Nông nghiệp và Thực phẩm Hà Nội - Kinh Bắc,Thực phẩm và đồ uống,Thực phẩm,CT
NBB,Công ty Cổ phần Đầu tư Năm Bảy Bảy,Bất động sản,Bất động sản,CT
GDT,Công ty Cổ phần Chế biến Gỗ Đức Thành,Hàng cá nhân & Gia dụng,Thiết bị gia dụng,CT
LAF,Công ty Cổ phần Chế biến Hàng Xuất khẩu Long An,Thực phẩm và đồ uống,Thực phẩm,CT
BTU,Công ty Cổ phần Công trình Đô thị Bến Tre,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT
HLB,Công ty Cổ phần Bia và Nước giải khát Hạ Long,Thực phẩm và đồ uống,Sản xuất bia,CT
HHN,Công ty Cổ phần Vận tải và Dịch vụ Hàng hóa Hà Nội,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT
CTC,Công ty Cổ phần Tập đoàn Hoàng Kim Tây Nguyên,Du lịch và Giải trí,Vận tải hành khách & Du lịch,CT
VKP,Công ty Cổ phần Nhựa Tân Hóa,Hóa chất,"Nhựa, cao su & sợi",CT
HLC,Công ty Cổ phần Than Hà Lầm - Vinacomin,Tài nguyên Cơ bản,Khai thác Than,CT
IME,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT
HTV,Công ty Cổ phần Logistics Vicem,Hàng & Dịch vụ Công nghiệp,Vận tải Thủy,CT
HHS,Công ty Cổ phần Đầu tư Dịch vụ Hoàng Huy,Ô tô và phụ tùng,Sản xuất ô tô,CT
CLL,Công ty Cổ phần Cảng Cát Lái,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT
CCP,Công ty Cổ phần Cảng Cửa Cấm Hải Phòng,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT
CGV,Công ty Cổ phần Vinaceglass,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
VNL,Công ty Cổ phần Logistics Vinalink,Hàng & Dịch vụ Công nghiệp,Dịch vụ vận tải,CT
KHD,"Công ty Cổ phần Khai thác, Chế biến Khoáng sản Hải Dương",Tài nguyên Cơ bản,Khai khoáng,CT
HU3,Công ty Cổ phần Đầu tư và Xây dựng HUD3,Xây dựng và Vật liệu,Xây dựng,CT
VPA,Công ty Cổ phần Vận tải Hóa dầu VP,Hàng & Dịch vụ Công nghiệp,Vận tải Thủy,CT
MRF,Công ty Cổ phần MERUFA,Y tế,Thiết bị y tế,CT
LDP,Công ty Cổ phần Dược Lâm Đồng - Ladophar,Y tế,Dược phẩm,CT
MST,Công ty Cổ phần Đầu tư MST,Xây dựng và Vật liệu,Xây dựng,CT
VTS,Công ty Cổ phần Gạch Ngói Từ Sơn,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
HNG,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT
GVR,Tập đoàn Công nghiệp Cao su Việt Nam - Công ty Cổ phần,Hóa chất,"Nhựa, cao su & sợi",CT
VNP,Công ty Cổ phần Nhựa Việt Nam,Hóa chất,"Nhựa, cao su & sợi",CT
BT1,Công ty Cổ phần Bảo vệ thực vật 1 Trung ương,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT
PIV,Công ty Cổ phần PIV,Bất động sản,"Tư Vấn, Định giá, Môi giới Bất động sản",CT
QST,Công ty Cổ phần Sách và Thiết bị trường học Quảng Ninh,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",CT
PLA,Công ty Cổ phần Đầu tư và Dịch vụ hạ tầng Xăng dầu,Xây dựng và Vật liệu,Xây dựng,CT
PTX,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Nghệ Tĩnh,"Điện, nước & xăng dầu khí đốt",Phân phối xăng dầu & khí đốt,CT
VXB,Công ty Cổ phần Vật liệu xây dựng Bến Tre,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
TBW,Công ty cổ phần Nước sạch Thái Bình,"Điện, nước & xăng dầu khí đốt",Nước,CT
PAN,Công ty Cổ phần Tập đoàn PAN,Thực phẩm và đồ uống,Thực phẩm,CT
SBD,Công ty Cổ phần Công nghệ Sao Bắc Đẩu,Công nghệ Thông tin,Phần mềm,CT
VTO,Công ty Cổ phần Vận tải Xăng dầu VITACO,Hàng & Dịch vụ Công nghiệp,Vận tải Thủy,CT
SIP,Công ty Cổ phần Đầu tư Sài Gòn VRG,Bất động sản,Bất động sản,CT
SGC,Công ty Cổ phần Xuất nhập khẩu Sa Giang,Thực phẩm và đồ uống,Thực phẩm,CT
SPC,Công ty Cổ phần Bảo vệ Thực vật Sài Gòn,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT
SMA,Công ty Cổ phần Thiết bị Phụ tùng Sài Gòn,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT
SJG,Tổng Công ty Sông Đà,Xây dựng và Vật liệu,Xây dựng,CT
ISH,Công ty Cổ phần Thủy điện Srok Phu Miêng IDICO,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT
