ticker,company_name,industry_group,sector_detail,company_type
YBM,Công ty Cổ phần Khoáng sản Công nghiệp Yên Bái,Tài nguyên Cơ bản,Khai khoáng,CT
TVS,Công ty Cổ phần Chứng khoán Thiên Việt,Dịch vụ tài chính,Môi giới chứng khoán,CK
PTM,"Công ty Cổ phần Sản xuất, Thương mại Và Dịch vụ Ô tô PTM",Ô tô và phụ tùng,Sản xuất ô tô,CT
S55,Công ty Cổ phần Sông Đà 505,Xây dựng và Vật liệu,Xây dựng,CT
VNM,Công ty Cổ phần Sữa Việt Nam,Thực phẩm và đồ uống,Thực phẩm,CT
DS3,Công ty Cổ phần DS3,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT
QCG,Công ty Cổ phần Quốc Cường Gia Lai,Bất động sản,Bất động sản,CT
S12,Công ty Cổ phần Sông Đà 12,Xây dựng và Vật liệu,Xây dựng,CT
SBL,Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,Thực phẩm và đồ uống,Sản xuất bia,CT
SD9,Công ty Cổ phần Sông Đà 9,Xây dựng và Vật liệu,Xây dựng,CT
SDY,Công ty Cổ phần Xi măng Sông Đà Yaly,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
SFG,Công ty Cổ phần Phân bón Miền Nam,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT
SHC,Công ty Cổ phần Hàng hải Sài Gòn,Hàng & Dịch vụ Công nghiệp,Vận tải Thủy,CT
ANI,Công ty Cổ phần ANI,Xây dựng và Vật liệu,Xây dựng,CT
STT,Công ty Cổ phần Vận chuyển Sài Gòn Tourist,Du lịch và Giải trí,Vận tải hành khách & Du lịch,CT
SJE,Công ty Cổ phần Sông Đà 11,Xây dựng và Vật liệu,Xây dựng,CT
SMN,Công ty Cổ phần Sách và thiết bị giáo dục Miền Nam,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",CT
SP2,Công ty Cổ phần Thủy điện Sử Pán 2,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT
S4A,Công ty Cổ phần Thủy điện Sê San 4A,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT
TA6,Công ty Cổ phần Đầu tư và Xây lắp Thành An 665,Xây dựng và Vật liệu,Xây dựng,CT
TCM,Công ty Cổ phần Dệt may - Đầu tư - Thương mại Thành Công,Hàng cá nhân & Gia dụng,Hàng May mặc,CT
TDP,Công ty Cổ phần Thuận Đức,Hàng & Dịch vụ Công nghiệp,Containers & Đóng gói,CT
CNC,Công ty Cổ phần Công nghệ cao Traphaco,Y tế,Dược phẩm,CT
MPT,Công ty Cổ phần Tập đoàn MPT,Hàng cá nhân & Gia dụng,Hàng May mặc,CT
MQB,Công ty Cổ phần Môi trường và Phát triển đô thị Quảng Bình,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT
MSB,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam,Ngân hàng,Ngân hàng,NH
ORS,Công ty Cổ phần Chứng khoán Tiên Phong,Dịch vụ tài chính,Môi giới chứng khoán,CK
EIN,Công ty Cổ phần Đầu tư - Thương Mại - Dịch vụ Điện lực,Du lịch và Giải trí,Khách sạn,CT
SAF,Công ty Cổ phần Lương thực Thực phẩm SAFOCO,Thực phẩm và đồ uống,Thực phẩm,CT
G36,Tổng Công ty 36 - Công ty Cổ phần,Xây dựng và Vật liệu,Xây dựng,CT
MBS,Công ty Cổ phần Chứng khoán MB,Dịch vụ tài chính,Môi giới chứng khoán,CK
TNB,Công ty Cổ phần Thép Nhà Bè - VNSTEEL,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT
TNM,Công ty Cổ phần Xuất nhập khẩu và Xây dựng Công trình,Xây dựng và Vật liệu,Xây dựng,CT
HC3,Công ty Cổ phần Xây dựng số 3 Hải Phòng,Xây dựng và Vật liệu,Xây dựng,CT
HTI,Công ty Cổ phần Đầu tư Phát triển Hạ tầng IDICO,Xây dựng và Vật liệu,Xây dựng,CT
TV6,Công ty Cổ phần Tập đoàn EMA LAND,Bất động sản,"Tư Vấn, Định giá, Môi giới Bất động sản",CT
TVC,Công ty Cổ phần Tập đoàn Quản lý tài sản T-Corp,Dịch vụ tài chính,Tài chính đặc biệt,CT
KTL,Công ty Cổ phần Kim khí Thăng Long,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT
TVD,Công ty Cổ phần Than Vàng Danh - Vinacomin,Tài nguyên Cơ bản,Khai thác Than,CT
VMA,Công ty Cổ phần Công nghiệp Ô tô - Vinacomin,Ô tô và phụ tùng,Sản xuất ô tô,CT
NDX,Công ty Cổ phần Xây lắp Phát triển Nhà Đà Nẵng,Xây dựng và Vật liệu,Xây dựng,CT
